"sequence" "support"
"1854" "<{대학,서울대,인하대},{연구}>" 0.1024
"1855" "<{대학,서울대},{연구}>" 0.1024
"1856" "<{인하대},{센터,연구}>" 0.136
"1857" "<{대학},{센터,연구}>" 0.1104
"1858" "<{서울대,센터,연구}>" 0.2304
"1859" "<{대학,센터,연구}>" 0.2464
"1860" "<{대학,인하대},{센터,연구}>" 0.1088
"1861" "<{인하대},{서울대,센터,연구}>" 0.1248
"1862" "<{대학},{서울대,센터,연구}>" 0.104
"1863" "<{대학,서울대,센터,연구}>" 0.2304
"1864" "<{대학,인하대},{서울대,센터,연구}>" 0.1024
"1865" "<{인하대},{대학,서울대,센터,연구}>" 0.1248
"1866" "<{대학},{대학,서울대,센터,연구}>" 0.104
"1867" "<{대학,인하대},{대학,서울대,센터,연구}>" 0.1024
"1868" "<{인하대},{대학,센터,연구}>" 0.136
"1869" "<{대학},{대학,센터,연구}>" 0.1104
"1870" "<{대학,인하대},{대학,센터,연구}>" 0.1088
"1871" "<{전국},{서울대,연구}>" 0.1072
"1872" "<{인하대},{서울대,연구}>" 0.168
"1873" "<{서울대},{서울대,연구}>" 0.1024
"1874" "<{대학},{서울대,연구}>" 0.128
"1875" "<{사업,서울대,연구}>" 0.1136
"1876" "<{대학,서울대,연구}>" 0.3024
"1877" "<{인하대,전국},{서울대,연구}>" 0.1072
"1878" "<{대학,전국},{서울대,연구}>" 0.1008
"1879" "<{대학,인하대,전국},{서울대,연구}>" 0.1008
"1880" "<{서울대,인하대},{서울대,연구}>" 0.1024
"1881" "<{대학,인하대},{서울대,연구}>" 0.1248
"1882" "<{대학,사업,서울대,연구}>" 0.1136
"1883" "<{전국},{대학,서울대,연구}>" 0.1056
"1884" "<{인하대},{대학,서울대,연구}>" 0.1664
"1885" "<{서울대},{대학,서울대,연구}>" 0.1008
"1886" "<{대학},{대학,서울대,연구}>" 0.1264
"1887" "<{인하대,전국},{대학,서울대,연구}>" 0.1056
"1888" "<{서울대,인하대},{대학,서울대,연구}>" 0.1008
"1889" "<{대학,인하대},{대학,서울대,연구}>" 0.1232
"1890" "<{대학,사업,연구}>" 0.1184
"1891" "<{전국},{대학,연구}>" 0.1136
"1892" "<{인하대},{대학,연구}>" 0.184
"1893" "<{서울대},{대학,연구}>" 0.104
"1894" "<{대학},{대학,연구}>" 0.136
"1895" "<{인하대,전국},{대학,연구}>" 0.1136
"1896" "<{대학,전국},{대학,연구}>" 0.1072
"1897" "<{대학,인하대,전국},{대학,연구}>" 0.1072
"1898" "<{서울대,인하대},{대학,연구}>" 0.104
"1899" "<{대학,인하대},{대학,연구}>" 0.1328
"1900" "<{대학,서울대,인하대},{대학,연구}>" 0.1008
"1901" "<{대학,서울대},{대학,연구}>" 0.1008
"1902" "<{대학,수시}>" 0.112
"1903" "<{센터,공동}>" 0.104
"1904" "<{대학},{센터}>" 0.1904
"1905" "<{대학,센터}>" 0.384
"1906" "<{사업,센터}>" 0.1232
"1907" "<{서울대},{센터}>" 0.16
"1908" "<{서울대,센터}>" 0.344
"1909" "<{센터},{센터}>" 0.1168
"1910" "<{인하대},{센터}>" 0.2384
"1911" "<{전국},{센터}>" 0.1632
"1912" "<{인하대,전국},{센터}>" 0.1632
"1913" "<{센터,전국},{센터}>" 0.1136
"1914" "<{서울대,전국},{센터}>" 0.1456
"1915" "<{대학,전국},{센터}>" 0.1584
"1916" "<{센터,인하대,전국},{센터}>" 0.1136
"1917" "<{서울대,인하대,전국},{센터}>" 0.1456
"1918" "<{대학,인하대,전국},{센터}>" 0.1584
"1919" "<{서울대,센터,인하대,전국},{센터}>" 0.1024
"1920" "<{대학,센터,인하대,전국},{센터}>" 0.112
"1921" "<{대학,서울대,센터,인하대,전국},{센터}>" 0.1024
"1922" "<{대학,서울대,인하대,전국},{센터}>" 0.144
"1923" "<{서울대,센터,전국},{센터}>" 0.1024
"1924" "<{대학,센터,전국},{센터}>" 0.112
"1925" "<{대학,서울대,센터,전국},{센터}>" 0.1024
"1926" "<{대학,서울대,전국},{센터}>" 0.144
"1927" "<{센터,인하대},{센터}>" 0.1168
"1928" "<{서울대,인하대},{센터}>" 0.16
"1929" "<{대학,인하대},{센터}>" 0.1888
"1930" "<{서울대,센터,인하대},{센터}>" 0.1056
"1931" "<{대학,센터,인하대},{센터}>" 0.1152
"1932" "<{대학,서울대,센터,인하대},{센터}>" 0.1056
"1933" "<{대학,서울대,인하대},{센터}>" 0.1584
"1934" "<{서울대,센터},{센터}>" 0.1056
"1935" "<{대학,센터},{센터}>" 0.1152
"1936" "<{대학,서울대,센터},{센터}>" 0.1056
"1937" "<{대학,서울대},{센터}>" 0.1584
"1938" "<{전국},{서울대,센터}>" 0.152
"1939" "<{인하대},{서울대,센터}>" 0.2112
"1940" "<{센터},{서울대,센터}>" 0.1088
"1941" "<{서울대},{서울대,센터}>" 0.152
"1942" "<{대학},{서울대,센터}>" 0.1776
"1943" "<{사업,서울대,센터}>" 0.1152
"1944" "<{대학,서울대,센터}>" 0.344
"1945" "<{인하대,전국},{서울대,센터}>" 0.152
"1946" "<{센터,전국},{서울대,센터}>" 0.1056
"1947" "<{서울대,전국},{서울대,센터}>" 0.1392
"1948" "<{대학,전국},{서울대,센터}>" 0.1472
"1949" "<{센터,인하대,전국},{서울대,센터}>" 0.1056
"1950" "<{서울대,인하대,전국},{서울대,센터}>" 0.1392
"1951" "<{대학,인하대,전국},{서울대,센터}>" 0.1472
"1952" "<{대학,센터,인하대,전국},{서울대,센터}>" 0.104
"1953" "<{대학,서울대,인하대,전국},{서울대,센터}>" 0.1376
"1954" "<{대학,센터,전국},{서울대,센터}>" 0.104
"1955" "<{대학,서울대,전국},{서울대,센터}>" 0.1376
"1956" "<{센터,인하대},{서울대,센터}>" 0.1088
"1957" "<{서울대,인하대},{서울대,센터}>" 0.152
"1958" "<{대학,인하대},{서울대,센터}>" 0.176
"1959" "<{서울대,센터,인하대},{서울대,센터}>" 0.1008
"1960" "<{대학,센터,인하대},{서울대,센터}>" 0.1072
"1961" "<{대학,서울대,센터,인하대},{서울대,센터}>" 0.1008
"1962" "<{대학,서울대,인하대},{서울대,센터}>" 0.1504
"1963" "<{서울대,센터},{서울대,센터}>" 0.1008
"1964" "<{대학,센터},{서울대,센터}>" 0.1072
"1965" "<{대학,서울대,센터},{서울대,센터}>" 0.1008
"1966" "<{대학,서울대},{서울대,센터}>" 0.1504
"1967" "<{대학,사업,서울대,센터}>" 0.1152
"1968" "<{전국},{대학,서울대,센터}>" 0.152
"1969" "<{인하대},{대학,서울대,센터}>" 0.2112
"1970" "<{센터},{대학,서울대,센터}>" 0.1088
"1971" "<{서울대},{대학,서울대,센터}>" 0.152
"1972" "<{대학},{대학,서울대,센터}>" 0.1776
"1973" "<{인하대,전국},{대학,서울대,센터}>" 0.152
"1974" "<{센터,전국},{대학,서울대,센터}>" 0.1056
"1975" "<{서울대,전국},{대학,서울대,센터}>" 0.1392
"1976" "<{대학,전국},{대학,서울대,센터}>" 0.1472
"1977" "<{센터,인하대,전국},{대학,서울대,센터}>" 0.1056
"1978" "<{서울대,인하대,전국},{대학,서울대,센터}>" 0.1392
"1979" "<{대학,인하대,전국},{대학,서울대,센터}>" 0.1472
"1980" "<{대학,센터,인하대,전국},{대학,서울대,센터}>" 0.104
"1981" "<{대학,서울대,인하대,전국},{대학,서울대,센터}>" 0.1376
"1982" "<{대학,센터,전국},{대학,서울대,센터}>" 0.104
"1983" "<{대학,서울대,전국},{대학,서울대,센터}>" 0.1376
"1984" "<{센터,인하대},{대학,서울대,센터}>" 0.1088
"1985" "<{서울대,인하대},{대학,서울대,센터}>" 0.152
"1986" "<{대학,인하대},{대학,서울대,센터}>" 0.176
"1987" "<{서울대,센터,인하대},{대학,서울대,센터}>" 0.1008
"1988" "<{대학,센터,인하대},{대학,서울대,센터}>" 0.1072
"1989" "<{대학,서울대,센터,인하대},{대학,서울대,센터}>" 0.1008
"1990" "<{대학,서울대,인하대},{대학,서울대,센터}>" 0.1504
"1991" "<{서울대,센터},{대학,서울대,센터}>" 0.1008
"1992" "<{대학,센터},{대학,서울대,센터}>" 0.1072
"1993" "<{대학,서울대,센터},{대학,서울대,센터}>" 0.1008
"1994" "<{대학,서울대},{대학,서울대,센터}>" 0.1504
"1995" "<{대학,사업,센터}>" 0.1232
"1996" "<{전국},{대학,센터}>" 0.1632
"1997" "<{인하대},{대학,센터}>" 0.2352
"1998" "<{센터},{대학,센터}>" 0.1168
"1999" "<{서울대},{대학,센터}>" 0.16
"2000" "<{대학},{대학,센터}>" 0.1904
"2001" "<{대학,센터,공동}>" 0.104
"2002" "<{인하대,전국},{대학,센터}>" 0.1632
"2003" "<{센터,전국},{대학,센터}>" 0.1136
"2004" "<{서울대,전국},{대학,센터}>" 0.1456
"2005" "<{대학,전국},{대학,센터}>" 0.1584
"2006" "<{센터,인하대,전국},{대학,센터}>" 0.1136
"2007" "<{서울대,인하대,전국},{대학,센터}>" 0.1456
"2008" "<{대학,인하대,전국},{대학,센터}>" 0.1584
"2009" "<{서울대,센터,인하대,전국},{대학,센터}>" 0.1024
"2010" "<{대학,센터,인하대,전국},{대학,센터}>" 0.112
"2011" "<{대학,서울대,센터,인하대,전국},{대학,센터}>" 0.1024
"2012" "<{대학,서울대,인하대,전국},{대학,센터}>" 0.144
"2013" "<{서울대,센터,전국},{대학,센터}>" 0.1024
"2014" "<{대학,센터,전국},{대학,센터}>" 0.112
"2015" "<{대학,서울대,센터,전국},{대학,센터}>" 0.1024
"2016" "<{대학,서울대,전국},{대학,센터}>" 0.144
"2017" "<{센터,인하대},{대학,센터}>" 0.1168
"2018" "<{서울대,인하대},{대학,센터}>" 0.16
"2019" "<{대학,인하대},{대학,센터}>" 0.1888
"2020" "<{서울대,센터,인하대},{대학,센터}>" 0.1056
"2021" "<{대학,센터,인하대},{대학,센터}>" 0.1152
"2022" "<{대학,서울대,센터,인하대},{대학,센터}>" 0.1056
"2023" "<{대학,서울대,인하대},{대학,센터}>" 0.1584
"2024" "<{서울대,센터},{대학,센터}>" 0.1056
"2025" "<{대학,센터},{대학,센터}>" 0.1152
"2026" "<{대학,서울대,센터},{대학,센터}>" 0.1056
"2027" "<{대학,서울대},{대학,센터}>" 0.1584
"2028" "<{서울대,공동}>" 0.1024
"2029" "<{대학},{서울대}>" 0.2688
"2030" "<{대학,서울대}>" 0.5376
"2031" "<{사업,서울대}>" 0.1584
"2032" "<{서울대},{서울대}>" 0.2144
"2033" "<{센터},{서울대}>" 0.1472
"2034" "<{연구},{서울대}>" 0.1152
"2035" "<{인하},{서울대}>" 0.1024
"2036" "<{인하대},{서울대}>" 0.3568
"2037" "<{전국},{서울대}>" 0.2224
"2038" "<{학교},{서울대}>" 0.104
"2039" "<{인하대,전국},{서울대}>" 0.2224
"2040" "<{연구,전국},{서울대}>" 0.1136
"2041" "<{센터,전국},{서울대}>" 0.1424
"2042" "<{서울대,전국},{서울대}>" 0.1968
"2043" "<{대학,전국},{서울대}>" 0.2128
"2044" "<{연구,인하대,전국},{서울대}>" 0.1136
"2045" "<{센터,인하대,전국},{서울대}>" 0.1424
"2046" "<{서울대,인하대,전국},{서울대}>" 0.1968
"2047" "<{대학,인하대,전국},{서울대}>" 0.2128
"2048" "<{서울대,연구,인하대,전국},{서울대}>" 0.104
"2049" "<{대학,연구,인하대,전국},{서울대}>" 0.112
"2050" "<{대학,서울대,연구,인하대,전국},{서울대}>" 0.1024
"2051" "<{서울대,센터,인하대,전국},{서울대}>" 0.1296
"2052" "<{대학,센터,인하대,전국},{서울대}>" 0.1408
"2053" "<{대학,서울대,센터,인하대,전국},{서울대}>" 0.1296
"2054" "<{대학,서울대,인하대,전국},{서울대}>" 0.1936
"2055" "<{서울대,연구,전국},{서울대}>" 0.104
"2056" "<{대학,연구,전국},{서울대}>" 0.112
"2057" "<{대학,서울대,연구,전국},{서울대}>" 0.1024
"2058" "<{서울대,센터,전국},{서울대}>" 0.1296
"2059" "<{대학,센터,전국},{서울대}>" 0.1408
"2060" "<{대학,서울대,센터,전국},{서울대}>" 0.1296
"2061" "<{대학,서울대,전국},{서울대}>" 0.1936
"2062" "<{인하,인하대},{서울대}>" 0.1024
"2063" "<{연구,인하대},{서울대}>" 0.1152
"2064" "<{센터,인하대},{서울대}>" 0.1472
"2065" "<{서울대,인하대},{서울대}>" 0.2144
"2066" "<{대학,인하대},{서울대}>" 0.2656
"2067" "<{서울대,연구,인하대},{서울대}>" 0.1056
"2068" "<{대학,연구,인하대},{서울대}>" 0.1136
"2069" "<{대학,서울대,연구,인하대},{서울대}>" 0.104
"2070" "<{서울대,센터,인하대},{서울대}>" 0.1328
"2071" "<{대학,센터,인하대},{서울대}>" 0.144
"2072" "<{대학,서울대,센터,인하대},{서울대}>" 0.1328
"2073" "<{대학,서울대,인하대},{서울대}>" 0.2096
"2074" "<{서울대,연구},{서울대}>" 0.1056
"2075" "<{대학,연구},{서울대}>" 0.1136
"2076" "<{대학,서울대,연구},{서울대}>" 0.104
"2077" "<{서울대,센터},{서울대}>" 0.1328
"2078" "<{대학,센터},{서울대}>" 0.144
"2079" "<{대학,서울대,센터},{서울대}>" 0.1328
"2080" "<{대학,서울대},{서울대}>" 0.2096
"2081" "<{대학,사업,서울대}>" 0.1584
"2082" "<{학교},{대학,서울대}>" 0.104
"2083" "<{전국},{대학,서울대}>" 0.216
"2084" "<{인하대},{대학,서울대}>" 0.3456
"2085" "<{인하},{대학,서울대}>" 0.1008
"2086" "<{연구},{대학,서울대}>" 0.1104
"2087" "<{센터},{대학,서울대}>" 0.1408
"2088" "<{서울대},{대학,서울대}>" 0.208
"2089" "<{대학},{대학,서울대}>" 0.2592
"2090" "<{대학,서울대,공동}>" 0.1024
"2091" "<{인하대,전국},{대학,서울대}>" 0.216
"2092" "<{연구,전국},{대학,서울대}>" 0.1088
"2093" "<{센터,전국},{대학,서울대}>" 0.136
"2094" "<{서울대,전국},{대학,서울대}>" 0.1904
"2095" "<{대학,전국},{대학,서울대}>" 0.2064
"2096" "<{연구,인하대,전국},{대학,서울대}>" 0.1088
"2097" "<{센터,인하대,전국},{대학,서울대}>" 0.136
"2098" "<{서울대,인하대,전국},{대학,서울대}>" 0.1904
"2099" "<{대학,인하대,전국},{대학,서울대}>" 0.2064
"2100" "<{대학,연구,인하대,전국},{대학,서울대}>" 0.1072
"2101" "<{서울대,센터,인하대,전국},{대학,서울대}>" 0.1232
"2102" "<{대학,센터,인하대,전국},{대학,서울대}>" 0.1344
"2103" "<{대학,서울대,센터,인하대,전국},{대학,서울대}>" 0.1232
"2104" "<{대학,서울대,인하대,전국},{대학,서울대}>" 0.1872
"2105" "<{대학,연구,전국},{대학,서울대}>" 0.1072
"2106" "<{서울대,센터,전국},{대학,서울대}>" 0.1232
"2107" "<{대학,센터,전국},{대학,서울대}>" 0.1344
"2108" "<{대학,서울대,센터,전국},{대학,서울대}>" 0.1232
"2109" "<{대학,서울대,전국},{대학,서울대}>" 0.1872
"2110" "<{인하,인하대},{대학,서울대}>" 0.1008
"2111" "<{연구,인하대},{대학,서울대}>" 0.1104
"2112" "<{센터,인하대},{대학,서울대}>" 0.1408
"2113" "<{서울대,인하대},{대학,서울대}>" 0.208
"2114" "<{대학,인하대},{대학,서울대}>" 0.256
"2115" "<{서울대,연구,인하대},{대학,서울대}>" 0.1008
"2116" "<{대학,연구,인하대},{대학,서울대}>" 0.1088
"2117" "<{서울대,센터,인하대},{대학,서울대}>" 0.1264
"2118" "<{대학,센터,인하대},{대학,서울대}>" 0.1376
"2119" "<{대학,서울대,센터,인하대},{대학,서울대}>" 0.1264
"2120" "<{대학,서울대,인하대},{대학,서울대}>" 0.2032
"2121" "<{서울대,연구},{대학,서울대}>" 0.1008
"2122" "<{대학,연구},{대학,서울대}>" 0.1088
"2123" "<{서울대,센터},{대학,서울대}>" 0.1264
"2124" "<{대학,센터},{대학,서울대}>" 0.1376
"2125" "<{대학,서울대,센터},{대학,서울대}>" 0.1264
"2126" "<{대학,서울대},{대학,서울대}>" 0.2032
"2127" "<{대학,새끼}>" 0.152
"2128" "<{사람,새끼}>" 0.1104
"2129" "<{인하대},{새끼}>" 0.1648
"2130" "<{대학,사업}>" 0.1696
"2131" "<{인하대},{사업}>" 0.1056
"2132" "<{대학},{사람}>" 0.1392
"2133" "<{대학,사람}>" 0.1856
"2134" "<{사람},{사람}>" 0.1104
"2135" "<{오늘},{사람}>" 0.1232
"2136" "<{인하대},{사람}>" 0.248
"2137" "<{오늘,인하대},{사람}>" 0.1008
"2138" "<{대학,인하대},{사람}>" 0.1328
"2139" "<{대학,공동}>" 0.1168
"2140" "<{대학},{대학}>" 0.3552
"2141" "<{사람},{대학}>" 0.1456
"2142" "<{서울대},{대학}>" 0.2576
"2143" "<{센터},{대학}>" 0.176
"2144" "<{연구},{대학}>" 0.1328
"2145" "<{오늘},{대학}>" 0.1744
"2146" "<{인하},{대학}>" 0.1568
"2147" "<{인하대},{대학}>" 0.5136
"2148" "<{전국},{대학}>" 0.2784
"2149" "<{학교},{대학}>" 0.1728
"2150" "<{인하대,학교},{대학}>" 0.1584
"2151" "<{인하대,전국},{대학}>" 0.2784
"2152" "<{인하,전국},{대학}>" 0.104
"2153" "<{연구,전국},{대학}>" 0.1312
"2154" "<{센터,전국},{대학}>" 0.1696
"2155" "<{서울대,전국},{대학}>" 0.232
"2156" "<{대학,전국},{대학}>" 0.264
"2157" "<{인하,인하대,전국},{대학}>" 0.104
"2158" "<{연구,인하대,전국},{대학}>" 0.1312
"2159" "<{센터,인하대,전국},{대학}>" 0.1696
"2160" "<{서울대,인하대,전국},{대학}>" 0.232
"2161" "<{대학,인하대,전국},{대학}>" 0.264
"2162" "<{대학,인하,인하대,전국},{대학}>" 0.1008
"2163" "<{서울대,연구,인하대,전국},{대학}>" 0.112
"2164" "<{대학,연구,인하대,전국},{대학}>" 0.1296
"2165" "<{대학,서울대,연구,인하대,전국},{대학}>" 0.1104
"2166" "<{서울대,센터,인하대,전국},{대학}>" 0.1488
"2167" "<{대학,센터,인하대,전국},{대학}>" 0.168
"2168" "<{대학,서울대,센터,인하대,전국},{대학}>" 0.1488
"2169" "<{대학,서울대,인하대,전국},{대학}>" 0.2256
"2170" "<{대학,인하,전국},{대학}>" 0.1008
"2171" "<{서울대,연구,전국},{대학}>" 0.112
"2172" "<{대학,연구,전국},{대학}>" 0.1296
"2173" "<{대학,서울대,연구,전국},{대학}>" 0.1104
"2174" "<{서울대,센터,전국},{대학}>" 0.1488
"2175" "<{대학,센터,전국},{대학}>" 0.168
"2176" "<{대학,서울대,센터,전국},{대학}>" 0.1488
"2177" "<{대학,서울대,전국},{대학}>" 0.2256
"2178" "<{인하,인하대},{대학}>" 0.1536
"2179" "<{오늘,인하대},{대학}>" 0.1488
"2180" "<{연구,인하대},{대학}>" 0.1328
"2181" "<{센터,인하대},{대학}>" 0.176
"2182" "<{서울대,인하대},{대학}>" 0.2576
"2183" "<{사람,인하대},{대학}>" 0.1216
"2184" "<{대학,인하대},{대학}>" 0.3504
"2185" "<{대학,인하,인하대},{대학}>" 0.1168
"2186" "<{서울대,연구,인하대},{대학}>" 0.1136
"2187" "<{대학,연구,인하대},{대학}>" 0.1312
"2188" "<{대학,서울대,연구,인하대},{대학}>" 0.112
"2189" "<{서울대,센터,인하대},{대학}>" 0.152
"2190" "<{대학,센터,인하대},{대학}>" 0.1728
"2191" "<{대학,서울대,센터,인하대},{대학}>" 0.152
"2192" "<{대학,서울대,인하대},{대학}>" 0.2496
"2193" "<{대학,인하},{대학}>" 0.1168
"2194" "<{서울대,연구},{대학}>" 0.1136
"2195" "<{대학,연구},{대학}>" 0.1312
"2196" "<{대학,서울대,연구},{대학}>" 0.112
"2197" "<{서울대,센터},{대학}>" 0.152
"2198" "<{대학,센터},{대학}>" 0.1728
"2199" "<{대학,서울대,센터},{대학}>" 0.152
"2200" "<{대학,서울대},{대학}>" 0.2496
